FlowID,releaseTime,finalTime,waitTime,numReroutes,startNodeID,endNodeID,slowdown
2355,0,1,0,0,10,0,1
2357,0,1,0,0,10,0,1
2359,0,1,0,0,10,0,1
2361,0,1,0,0,20,0,1
2370,0,1,0,0,19,0,1
2375,0,1,0,0,10,0,1
2381,0,1,0,0,20,0,1
2390,0,1,0,0,10,0,1
2392,0,1,0,0,20,0,1
2398,0,1,0,0,20,0,1
2406,0,1,0,0,20,0,1
2415,0,1,0,0,9,0,1
2419,0,1,0,0,9,0,1
2436,0,1,0,0,10,0,1
2447,0,1,0,0,9,0,1
2449,0,1,0,0,0,9,1
2460,0,1,0,0,10,0,1
2474,0,1,0,0,10,0,1
2476,0,1,0,0,10,0,1
2483,0,1,0,0,19,0,1
2486,0,1,0,0,19,0,1
2488,0,1,0,0,10,0,1
2499,0,1,0,0,19,0,1
2503,0,1,0,0,20,0,1
2508,0,1,0,0,10,0,1
2510,0,1,0,0,20,0,1
2523,0,1,0,0,10,0,1
2528,0,1,0,0,20,0,1
2554,0,1,0,0,20,0,1
2563,0,1,0,0,0,10,1
2566,0,1,0,0,20,0,1
2580,0,1,0,0,9,0,1
2587,0,1,0,0,19,0,1
2598,0,1,0,0,19,0,1
2601,0,1,0,0,10,0,1
2609,0,1,0,0,9,0,1
2619,0,1,0,0,19,0,1
2627,0,1,0,0,19,0,1
2651,0,1,0,0,19,0,1
2661,0,1,0,0,20,0,1
2673,0,1,0,0,9,0,1
2681,0,1,0,0,9,0,1
2686,0,1,0,0,9,0,1
2695,0,1,0,0,10,0,1
2705,0,1,0,0,19,0,1
2709,0,1,0,0,10,0,1
2715,0,1,0,0,10,0,1
2723,0,1,0,0,10,0,1
2726,0,1,0,0,10,0,1
2732,0,1,0,0,19,0,1
2734,0,1,0,0,19,0,1
2740,0,1,0,0,19,0,1
2745,0,1,0,0,20,0,1
2763,0,1,0,0,0,10,1
2765,0,1,0,0,19,0,1
2772,0,1,0,0,0,9,1
2775,0,1,0,0,19,0,1
2780,0,1,0,0,19,0,1
2806,0,1,0,0,19,0,1
2809,0,1,0,0,10,0,1
2814,0,1,0,0,19,0,1
2817,0,1,0,0,9,0,1
2819,0,1,0,0,10,0,1
2822,0,1,0,0,19,0,1
2824,0,1,0,0,0,9,1
2830,0,1,0,0,19,0,1
2833,0,1,0,0,10,0,1
2841,0,1,0,0,19,0,1
2845,0,1,0,0,9,0,1
2847,0,1,0,0,19,0,1
2853,0,1,0,0,20,0,1
2877,0,1,0,0,10,0,1
2886,0,1,0,0,20,0,1
2911,0,1,0,0,19,0,1
2915,0,1,0,0,9,0,1
2917,0,1,0,0,19,0,1
2930,0,1,0,0,9,0,1
2937,0,1,0,0,20,0,1
2944,0,1,0,0,10,0,1
2951,0,1,0,0,0,19,1
2959,0,1,0,0,20,0,1
2964,0,1,0,0,19,0,1
